date,dep_icao,arr_icao,flights,mean_duration_s,median_duration_s
2025-09-01,CYEG,CYUL,1,13824,13824
2025-09-01,CYEG,CYVR,8,4524,4317
2025-09-01,CYEG,CYYC,7,2038,2007
2025-09-01,CYEG,CYYZ,6,12883,12956
2025-09-01,CYUL,CYEG,1,13612,13612
2025-09-01,CYUL,CYVR,6,16838,16860
2025-09-01,CYUL,CYYC,4,13508,13620
2025-09-01,CYUL,CYYZ,24,3344,3271
2025-09-01,CYVR,CYEG,10,4079,4072
2025-09-01,CYVR,CYUL,5,16549,16526
2025-09-01,CYVR,CYYC,28,4004,3766
2025-09-01,CYVR,CYYZ,22,15220,15185
2025-09-01,CYYC,CYEG,13,2278,2312
2025-09-01,CYYC,CYUL,6,14019,14008
2025-09-01,CYYC,CYVR,30,4296,3976
2025-09-01,CYYC,CYYZ,25,12690,12676
2025-09-01,CYYZ,CYEG,8,12772,12715
2025-09-01,CYYZ,CYUL,24,3885,3757
2025-09-01,CYYZ,CYVR,26,16336,16343
2025-09-01,CYYZ,CYYC,25,13366,13352
2025-09-02,CYEG,CYVR,7,4475,4564
2025-09-02,CYEG,CYYC,5,2386,2275
2025-09-02,CYEG,CYYZ,2,12153,12153
2025-09-02,CYUL,CYEG,1,14254,14254
2025-09-02,CYUL,CYVR,5,16802,17169
2025-09-02,CYUL,CYYC,5,14202,14199
2025-09-02,CYUL,CYYZ,29,3429,3343
2025-09-02,CYVR,CYEG,15,4291,4232
2025-09-02,CYVR,CYUL,5,16617,16858
2025-09-02,CYVR,CYYC,29,4399,3940
2025-09-02,CYVR,CYYZ,22,15374,15322
2025-09-02,CYYC,CYEG,14,2117,2002
2025-09-02,CYYC,CYUL,5,13630,13602
2025-09-02,CYYC,CYVR,30,4611,3915
2025-09-02,CYYC,CYYZ,23,12506,12488
2025-09-02,CYYZ,CYEG,13,13931,13849
2025-09-02,CYYZ,CYUL,29,3700,3730
2025-09-02,CYYZ,CYVR,26,16646,16666
2025-09-02,CYYZ,CYYC,23,13890,13884
2025-09-03,CYEG,CYUL,1,12655,12655
2025-09-03,CYEG,CYVR,8,4225,4241
2025-09-03,CYEG,CYYC,13,2305,2271
2025-09-03,CYEG,CYYZ,4,11931,11918
2025-09-03,CYUL,CYVR,6,16935,17058
2025-09-03,CYUL,CYYC,5,14298,14418
2025-09-03,CYUL,CYYZ,25,3298,3294
2025-09-03,CYVR,CYEG,7,4137,4181
2025-09-03,CYVR,CYUL,5,16100,16041
2025-09-03,CYVR,CYYC,27,4206,3964
2025-09-03,CYVR,CYYZ,24,15163,15162
2025-09-03,CYYC,CYEG,13,2140,2062
2025-09-03,CYYC,CYUL,6,13265,13304
2025-09-03,CYYC,CYVR,33,4558,3747
2025-09-03,CYYC,CYYZ,21,12248,12297
2025-09-03,CYYZ,CYEG,6,14416,14364
2025-09-03,CYYZ,CYUL,27,3629,3613
2025-09-03,CYYZ,CYVR,25,16494,16474
2025-09-03,CYYZ,CYYC,24,13895,13807
2025-09-04,CYEG,CYUL,3,14231,13231
2025-09-04,CYEG,CYVR,19,4252,4240
2025-09-04,CYEG,CYYC,18,2007,1890
2025-09-04,CYEG,CYYZ,14,11814,11850
2025-09-04,CYUL,CYVR,7,17203,16942
2025-09-04,CYUL,CYYC,4,13937,14043
2025-09-04,CYUL,CYYZ,28,3651,3613
