icao24,ground_icao,ground_iata,ground_city,prev_dep_icao,prev_arr_icao,next_dep_icao,next_arr_icao,prev_arr_time_unix,next_dep_time_unix,prev_arr_time_utc,next_dep_time_utc,turnaround_min
c080e0,CYVR,YVR,Vancouver,CYYZ,CYVR,CYVR,CYYC,1756751819,1756761282,2025-09-01T18:36:59+00:00,2025-09-01T21:14:42+00:00,157
c080e0,CYYC,YYC,Calgary,CYVR,CYYC,CYYC,CYVR,1756991706,1757050889,2025-09-04T13:15:06+00:00,2025-09-05T05:41:29+00:00,986
c080e0,CYVR,YVR,Vancouver,CYYC,CYVR,CYVR,CYEG,1757054632,1757185712,2025-09-05T06:43:52+00:00,2025-09-06T19:08:32+00:00,2184
c080e0,CYYC,YYC,Calgary,CYVR,CYYC,CYYC,CYVR,1757485847,1757565421,2025-09-10T06:30:47+00:00,2025-09-11T04:37:01+00:00,1326
c080e0,CYVR,YVR,Vancouver,CYYC,CYVR,CYVR,CYEG,1757569068,1757690693,2025-09-11T05:37:48+00:00,2025-09-12T15:24:53+00:00,2027
c050ae,CYVR,YVR,Vancouver,CYEG,CYVR,CYVR,CYYC,1756695239,1756758033,2025-09-01T02:53:59+00:00,2025-09-01T20:20:33+00:00,1046
c050ae,CYYC,YYC,Calgary,CYVR,CYYC,CYYC,CYVR,1756781116,1756902614,2025-09-02T02:45:16+00:00,2025-09-03T12:30:14+00:00,2024
c050ae,CYVR,YVR,Vancouver,CYYC,CYVR,CYVR,CYYZ,1756906386,1756991353,2025-09-03T13:33:06+00:00,2025-09-04T13:09:13+00:00,1416
c050ae,CYYZ,YYZ,Toronto,CYVR,CYYZ,CYYZ,CYYC,1757005905,1757780160,2025-09-04T17:11:45+00:00,2025-09-13T16:16:00+00:00,12904
c050ae,CYVR,YVR,Vancouver,CYUL,CYVR,CYVR,CYYZ,1757919260,1757942521,2025-09-15T06:54:20+00:00,2025-09-15T13:22:01+00:00,387
c03bf5,CYVR,YVR,Vancouver,CYYC,CYVR,CYVR,CYYC,1756751994,1756756363,2025-09-01T18:39:54+00:00,2025-09-01T19:52:43+00:00,72
c03bf5,CYYC,YYC,Calgary,CYVR,CYYC,CYYC,CYEG,1756760374,1756860638,2025-09-01T20:59:34+00:00,2025-09-03T00:50:38+00:00,1671
c03bf5,CYEG,YEG,Edmonton,CYYC,CYEG,CYEG,CYYC,1757214255,1757307110,2025-09-07T03:04:15+00:00,2025-09-08T04:51:50+00:00,1547
c03bf5,CYYC,YYC,Calgary,CYEG,CYYC,CYYC,CYEG,1757309028,1757389830,2025-09-08T05:23:48+00:00,2025-09-09T03:50:30+00:00,1346
c01e1f,CYYC,YYC,Calgary,CYVR,CYYC,CYYC,CYVR,1756781001,1756785971,2025-09-02T02:43:21+00:00,2025-09-02T04:06:11+00:00,82
c01e1f,CYVR,YVR,Vancouver,CYYC,CYVR,CYVR,CYYZ,1756789992,1756795924,2025-09-02T05:13:12+00:00,2025-09-02T06:52:04+00:00,98
c01e1f,CYYZ,YYZ,Toronto,CYVR,CYYZ,CYYZ,CYVR,1756811271,1756815541,2025-09-02T11:07:51+00:00,2025-09-02T12:19:01+00:00,71
c01e1f,CYVR,YVR,Vancouver,CYYZ,CYVR,CYVR,CYYC,1756832352,1756836620,2025-09-02T16:59:12+00:00,2025-09-02T18:10:20+00:00,71
c01e1f,CYYC,YYC,Calgary,CYVR,CYYC,CYYC,CYVR,1756840684,1756844689,2025-09-02T19:18:04+00:00,2025-09-02T20:24:49+00:00,66
c01e1f,CYVR,YVR,Vancouver,CYYC,CYVR,CYVR,CYYC,1756848443,1756911690,2025-09-02T21:27:23+00:00,2025-09-03T15:01:30+00:00,1054
c01e1f,CYYC,YYC,Calgary,CYVR,CYYC,CYYC,CYVR,1756915703,1756920727,2025-09-03T16:08:23+00:00,2025-09-03T17:32:07+00:00,83
c01e1f,CYVR,YVR,Vancouver,CYEG,CYVR,CYVR,CYYC,1756960159,1757083591,2025-09-04T04:29:19+00:00,2025-09-05T14:46:31+00:00,2057
c01e1f,CYYC,YYC,Calgary,CYVR,CYYC,CYYC,CYVR,1757087729,1757092417,2025-09-05T15:55:29+00:00,2025-09-05T17:13:37+00:00,78
c01e1f,CYVR,YVR,Vancouver,CYYC,CYVR,CYVR,CYEG,1757096109,1757102241,2025-09-05T18:15:09+00:00,2025-09-05T19:57:21+00:00,102
c01e1f,CYYC,YYC,Calgary,CYVR,CYYC,CYYC,CYVR,1757213213,1757217531,2025-09-07T02:46:53+00:00,2025-09-07T03:58:51+00:00,71
c01e1f,CYVR,YVR,Vancouver,CYYC,CYVR,CYVR,CYYZ,1757221397,1757225949,2025-09-07T05:03:17+00:00,2025-09-07T06:19:09+00:00,75
c01e1f,CYYZ,YYZ,Toronto,CYVR,CYYZ,CYYZ,CYVR,1757240786,1757245444,2025-09-07T10:26:26+00:00,2025-09-07T11:44:04+00:00,77
c01e1f,CYVR,YVR,Vancouver,CYYZ,CYVR,CYVR,CYYC,1757262449,1757267851,2025-09-07T16:27:29+00:00,2025-09-07T17:57:31+00:00,90
c01e1f,CYVR,YVR,Vancouver,CYYZ,CYVR,CYVR,CYYZ,1757457178,1757462427,2025-09-09T22:32:58+00:00,2025-09-10T00:00:27+00:00,87
